City,Personal Revenge,Anger,Fraud,Extortion,Causing Disrepute,Prank,Sexual Exploitation,Disrupt Public Service,Sale purchase illegal drugs,Developing own business,Spreading Piracy,Psycho or Pervert,Steal Information,Abetment to Suicide,Others,Total
Agra,5.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,70.0
Allahabad,0.0,0.0,222.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0
Amritsar,2.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
Asansol,6.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0
Aurangabad,5.0,2.0,51.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0
Bhopal,0.0,0.0,4.0,7.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
Chandigarh City,0.0,0.0,19.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0
Dhanbad,2.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
Durg-Bhilainagar,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
Faridabad,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,17.0
Gwalior,0.0,2.0,24.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0
Jabalpur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamshedpur,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0
Jodhpur,0.0,0.0,59.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,111.0
Kannur,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0
Kollam,0.0,0.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
Kota,0.0,3.0,6.0,5.0,5.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
Ludhiana,0.0,0.0,6.0,4.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
Madurai,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malappuram,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0
Meerut,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,64.0
Nasik,0.0,0.0,21.0,0.0,8.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0
Raipur,0.0,0.0,3.0,0.0,8.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,23.0
Rajkot,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0
Ranchi,0.0,0.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.0
Srinagar,1.0,0.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0
Thiruvananthapuram,7.0,2.0,23.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,47.0
Thrissur,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
Tiruchirapalli,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0
Vadodara,0.0,0.0,11.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Varanasi,12.0,14.0,111.0,5.0,17.0,31.0,31.0,5.0,0.0,0.0,8.0,0.0,0.0,0.0,49.0,287.0
Vasai Virar,1.0,1.0,16.0,0.0,6.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,48.0
Vijayawada,9.0,0.0,75.0,6.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,181.0
Vishakhapatnam,13.0,15.0,358.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,427.0
Andhra Pradesh,24.0,5.0,537.0,65.0,0.0,0.0,61.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,217.0,931.0
Arunachal Pradesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Assam,246.0,83.0,48.0,65.0,40.0,40.0,217.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,322.0,1120.0
Bihar,12.0,5.0,397.0,3.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0
Chhattisgarh,8.0,3.0,47.0,4.0,29.0,18.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,171.0
Goa,0.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Gujarat,6.0,5.0,305.0,12.0,79.0,3.0,24.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,11.0,458.0
Haryana,7.0,6.0,43.0,4.0,9.0,2.0,36.0,1.0,2.0,7.0,4.0,0.0,1.0,0.0,382.0,504.0
Himachal Pradesh,5.0,4.0,8.0,6.0,3.0,3.0,10.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,9.0,56.0
Jammu & Kashmir,0.0,1.0,15.0,10.0,0.0,3.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,63.0
Jharkhand,31.0,11.0,460.0,17.0,0.0,6.0,14.0,23.0,5.0,36.0,2.0,2.0,1.0,0.0,84.0,720.0
Karnataka,36.0,12.0,2764.0,28.0,94.0,1.0,55.0,2.0,0.0,8.0,2.0,2.0,1.0,0.0,126.0,3174.0
Kerala,62.0,28.0,77.0,11.0,30.0,0.0,65.0,1.0,0.0,2.0,0.0,8.0,0.0,0.0,24.0,320.0
Madhya Pradesh,2.0,26.0,155.0,6.0,135.0,4.0,33.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,101.0,490.0
Maharashtra,47.0,80.0,2171.0,23.0,97.0,16.0,462.0,2.0,0.0,13.0,2.0,4.0,1.0,0.0,619.0,3604.0
Manipur,0.0,2.0,35.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,21.0,74.0
Meghalaya,9.0,1.0,15.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,39.0
Mizoram,0.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0
Nagaland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Odisha,11.0,0.0,531.0,57.0,4.0,0.0,14.0,0.0,0.0,13.0,43.0,0.0,1.0,0.0,143.0,824.0
Punjab,7.0,6.0,53.0,11.0,16.0,4.0,49.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,19.0,176.0
Rajasthan,2.0,3.0,331.0,19.0,35.0,3.0,29.0,0.0,0.0,23.0,2.0,0.0,1.0,0.0,819.0,1304.0
Sikkim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Tamil Nadu,42.0,14.0,51.0,11.0,17.0,2.0,28.0,5.0,0.0,3.0,3.0,0.0,0.0,5.0,14.0,228.0
Telangana,14.0,201.0,529.0,95.0,0.0,0.0,58.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,304.0,1209.0
Tripura,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0
Uttar Pradesh,41.0,208.0,3450.0,419.0,366.0,192.0,117.0,3.0,0.0,35.0,12.0,1.0,0.0,0.0,44.0,4971.0
Uttarakhand,0.0,3.0,54.0,17.0,23.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,124.0
West Bengal,8.0,3.0,45.0,7.0,15.0,17.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,379.0,568.0
Total State(s),620.0,712.0,12139.0,891.0,997.0,314.0,1426.0,52.0,8.0,146.0,88.0,17.0,10.0,5.0,3713.0,21593.0
A&N Islands,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
Chandigarh,0.0,0.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,32.0
D&N Haveli,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Daman & Diu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delhi,8.0,2.0,50.0,10.0,4.0,7.0,33.0,3.0,0.0,10.0,2.0,0.0,0.0,0.0,33.0,162.0
Lakshadweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Puducherry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0
Total UT(s),8.0,2.0,74.0,15.0,5.0,7.0,34.0,3.0,0.0,10.0,2.0,0.0,0.0,0.0,43.0,203.0
Total All India,628.0,714.0,12213.0,906.0,1002.0,321.0,1460.0,55.0,8.0,156.0,90.0,17.0,10.0,5.0,3756.0,21796.0
Andhra Pradesh,34.0,26.0,733.0,45.0,7.0,0.0,92.0,1.0,0.0,2.0,14.0,2.0,0.0,1.0,236.0,1207.0
Arunachal Pradesh,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0
Assam,239.0,46.0,389.0,153.0,234.0,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,832.0,2022.0
Bihar,5.0,8.0,351.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.0
Chhattisgarh,0.0,1.0,23.0,2.0,25.0,0.0,21.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,61.0,139.0
Goa,0.0,0.0,11.0,0.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,29.0
Gujarat,17.0,32.0,401.0,24.0,154.0,16.0,23.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,14.0,702.0
Haryana,6.0,9.0,137.0,21.0,11.0,2.0,75.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,141.0,418.0
Himachal Pradesh,4.0,1.0,18.0,1.0,3.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,69.0
Jammu & Kashmir,2.0,0.0,20.0,7.0,7.0,3.0,10.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,73.0
Jharkhand,16.0,6.0,783.0,44.0,16.0,0.0,16.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,930.0
Karnataka,27.0,10.0,5441.0,97.0,49.0,1.0,85.0,3.0,0.0,5.0,5.0,1.0,1.0,0.0,88.0,5839.0
Kerala,69.0,18.0,93.0,8.0,48.0,3.0,50.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,24.0,340.0
Madhya Pradesh,93.0,10.0,230.0,19.0,109.0,2.0,49.0,1.0,0.0,4.0,20.0,0.0,0.0,1.0,169.0,740.0
Maharashtra,99.0,129.0,1998.0,31.0,64.0,18.0,724.0,2.0,2.0,13.0,6.0,0.0,3.0,0.0,369.0,3511.0
Manipur,0.0,0.0,14.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0
Meghalaya,0.0,0.0,35.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,11.0,74.0
Mizoram,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0
Nagaland,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Odisha,7.0,0.0,506.0,224.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,843.0
Punjab,14.0,7.0,48.0,15.0,19.0,4.0,85.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,38.0,239.0
Rajasthan,9.0,11.0,499.0,31.0,66.0,14.0,60.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,383.0,1104.0
Sikkim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Tamil Nadu,39.0,13.0,55.0,7.0,17.0,6.0,36.0,1.0,0.0,3.0,1.0,0.0,4.0,0.0,20.0,295.0
Telangana,19.0,3.0,732.0,51.0,3.0,2.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301.0,1205.0
Tripura,5.0,0.0,8.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
Uttar Pradesh,47.0,73.0,2351.0,199.0,343.0,191.0,343.0,9.0,0.0,75.0,614.0,0.0,0.0,0.0,1931.0,6280.0
Uttarakhand,3.0,41.0,46.0,16.0,12.0,22.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,13.0,171.0
West Bengal,28.0,9.0,68.0,25.0,2.0,3.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,335.0
Total State(s),783.0,457.0,14992.0,1025.0,1205.0,288.0,1990.0,21.0,6.0,163.0,669.0,4.0,16.0,2.0,4903.0,27004.0
A&N Islands,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0
Chandigarh,0.0,0.0,19.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0
D&N Haveli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daman & Diu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Delhi,11.0,4.0,36.0,11.0,4.0,1.0,35.0,0.0,0.0,35.0,2.0,0.0,0.0,0.0,50.0,189.0
Lakshadweep,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0
Puducherry,0.0,0.0,0.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
Total UT(s),11.0,4.0,59.0,25.0,7.0,8.0,40.0,0.0,0.0,35.0,2.0,0.0,0.0,0.0,53.0,244.0
Total All India,794.0,461.0,15051.0,1050.0,1212.0,296.0,2030.0,21.0,6.0,198.0,671.0,4.0,16.0,2.0,4956.0,27248.0
,,,,,,,,,,,,,,,,
Andhra Pradesh,16.0,17.0,1211.0,28.0,4.0,5.0,84.0,0.0,0.0,9.0,4.0,0.0,2.0,0.0,418.0,1886.0
Arunachal Pradesh,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,8.0
Assam,555.0,263.0,243.0,518.0,33.0,14.0,289.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,2231.0
Bihar,27.0,7.0,844.0,109.0,0.0,5.0,8.0,0.0,2.0,46.0,0.0,0.0,0.0,0.0,2.0,1050.0
Chhattisgarh,2.0,1.0,47.0,2.0,25.0,0.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,175.0
Goa,2.0,1.0,9.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
Gujarat,5.0,20.0,363.0,17.0,308.0,10.0,32.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,784.0
Haryana,2.0,3.0,151.0,16.0,1.0,8.0,57.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,318.0,564.0
Himachal Pradesh,7.0,3.0,15.0,7.0,6.0,1.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,76.0
Jammu & Kashmir,5.0,0.0,27.0,4.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,73.0
Jharkhand,8.0,0.0,964.0,4.0,0.0,0.0,15.0,0.0,8.0,4.0,0.0,0.0,82.0,0.0,3.0,1095.0
Karnataka,12.0,4.0,11381.0,43.0,109.0,1.0,90.0,0.0,0.0,16.0,2.0,0.0,0.0,0.0,350.0,12020.0
Kerala,68.0,25.0,67.0,6.0,28.0,6.0,70.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,12.0,307.0
Madhya Pradesh,2.0,2.0,178.0,21.0,113.0,2.0,40.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,238.0,602.0
Maharashtra,48.0,45.0,3551.0,35.0,87.0,10.0,557.0,0.0,0.0,12.0,1.0,0.0,7.0,0.0,581.0,4967.0
Manipur,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Meghalaya,4.0,7.0,50.0,7.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,89.0
Mizoram,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
Nagaland,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
Odisha,24.0,0.0,1000.0,279.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1485.0
Punjab,4.0,8.0,81.0,23.0,21.0,5.0,65.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,26.0,243.0
Rajasthan,17.0,45.0,938.0,59.0,90.0,6.0,103.0,0.0,0.0,12.0,2.0,0.0,0.0,0.0,478.0,1762.0
Sikkim,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Tamil Nadu,39.0,22.0,73.0,21.0,80.0,4.0,65.0,6.0,0.0,2.0,3.0,0.0,0.0,0.0,17.0,385.0
Telangana,11.0,4.0,2013.0,49.0,1.0,6.0,78.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,508.0,2691.0
Tripura,1.0,1.0,2.0,3.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,20.0
Uttar Pradesh,301.0,81.0,3549.0,544.0,953.0,1293.0,430.0,11.0,0.0,61.0,18.0,0.0,0.0,0.0,3948.0,11416.0
Uttarakhand,4.0,8.0,28.0,5.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,100.0
West Bengal,28.0,9.0,68.0,25.0,2.0,3.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,335.0
TOTAL STATE(S),1195.0,581.0,26853.0,1827.0,1874.0,1384.0,2238.0,28.0,10.0,181.0,43.0,1.0,93.0,0.0,7524.0,44395.0
A & N Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Chandigarh,4.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,23.0
D & N Haveli,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daman & Diu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
Delhi,4.0,0.0,31.0,15.0,0.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,115.0
Lakshadweep,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Puducherry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,4.0
TOTAL UT(S),12.0,0.0,38.0,15.0,0.0,1.0,28.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,54.0,151.0
TOTAL ALL INDIA,1207.0,581.0,26891.0,1842.0,1874.0,1385.0,2266.0,28.0,10.0,181.0,45.0,1.0,93.0,0.0,7578.0,44546.0
Andhra Pradesh,83.0,39.0,1149.0,56.0,15.0,2.0,169.0,2.0,0.0,42.0,0.0,0.0,4.0,0.0,271.0,1899.0
Arunachal Pradesh,1.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,30.0
Assam,654.0,164.0,242.0,447.0,85.0,35.0,483.0,12.0,0.0,3.0,0.0,0.0,0.0,0.0,1323.0,3530.0
Bihar,84.0,34.0,1218.0,102.0,19.0,12.0,32.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1512.0
Chhattisgarh,0.0,1.0,75.0,7.0,41.0,0.0,35.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,135.0,297.0
Goa,0.0,0.0,25.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,40.0
Gujarat,6.0,31.0,875.0,26.0,203.0,43.0,37.0,8.0,2.0,5.0,4.0,0.0,0.0,0.0,34.0,1283.0
Haryana,14.0,3.0,157.0,17.0,9.0,1.0,70.0,2.0,0.0,8.0,6.0,0.0,0.0,0.0,368.0,656.0
Himachal Pradesh,2.0,1.0,19.0,9.0,15.0,0.0,34.0,1.0,0.0,6.0,1.0,0.0,1.0,0.0,6.0,98.0
Jharkhand,4.0,4.0,1069.0,14.0,2.0,0.0,13.0,7.0,13.0,0.0,0.0,0.0,49.0,0.0,22.0,1204.0
Karnataka,147.0,13.0,9680.0,74.0,368.0,0.0,191.0,1.0,2.0,17.0,4.0,0.0,0.0,0.0,223.0,10741.0
Kerala,44.0,34.0,96.0,21.0,58.0,10.0,138.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,426.0
Madhya Pradesh,7.0,6.0,292.0,13.0,66.0,2.0,119.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,184.0,699.0
Maharashtra,36.0,105.0,3413.0,45.0,76.0,32.0,612.0,2.0,0.0,14.0,0.0,0.0,0.0,0.0,1149.0,5496.0
Manipur,0.0,2.0,40.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,79.0
Meghalaya,6.0,10.0,81.0,7.0,9.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,142.0
Mizoram,0.0,0.0,3.0,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
Nagaland,0.0,0.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0
Odisha,1.0,33.0,1380.0,175.0,0.0,0.0,239.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,1931.0
Punjab,4.0,19.0,164.0,29.0,19.0,3.0,58.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,67.0,378.0
Rajasthan,22.0,10.0,641.0,42.0,73.0,11.0,67.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,463.0,1354.0
Sikkim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tamil Nadu,83.0,57.0,134.0,112.0,43.0,7.0,192.0,16.0,0.0,0.0,19.0,0.0,0.0,0.0,11.0,782.0
Telangana,96.0,24.0,4436.0,115.0,3.0,0.0,85.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,256.0,5024.0
Tripura,14.0,1.0,11.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,34.0
Uttar Pradesh,78.0,210.0,4674.0,1055.0,547.0,87.0,560.0,35.0,0.0,76.0,36.0,0.0,5.0,0.0,3483.0,11097.0
Uttarakhand,11.0,5.0,98.0,33.0,6.0,0.0,44.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,39.0,243.0
West Bengal,66.0,8.0,72.0,12.0,3.0,3.0,44.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,502.0,712.0
Total State(s),1463.0,814.0,30075.0,2411.0,1678.0,252.0,3249.0,90.0,21.0,203.0,75.0,0.0,62.0,0.0,8688.0,49708.0
A & N Islands,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0
Chandigarh,0.0,0.0,7.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,17.0
D & N Haveli and Daman & Diu,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Delhi,2.0,4.0,23.0,15.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,168.0
Jammu & Kashmir,3.0,4.0,33.0,9.0,28.0,2.0,12.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,14.0,120.0
Ladakh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Lakshadweep,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
Puducherry,0.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,10.0
Total UT(s),7.0,8.0,67.0,29.0,28.0,2.0,44.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,126.0,327.0
Total All India,1470.0,822.0,30142.0,2440.0,1706.0,254.0,3293.0,92.0,21.0,210.0,75.0,0.0,62.0,0.0,8814.0,50035.0
